stop_id,stop_name,stop_lat,stop_lon,location_type
740011836,Burvik Norrängevägen,59.897173,18.392051,
740011842,Länsgränsen (Burvik),59.895378,18.400223,
740011877,Åkersberga centrum,59.480693,18.300040,
740011972,Ösmo centrum,58.982499,17.896688,
740011974,Trosaporten,58.905333,17.550501,
740011987,Österåker kyrka,59.508566,18.284129,
740012127,Karolinska institutet Biomedicum,59.349968,18.024600,
740012429,Kapellskär brygga,59.718034,19.070599,
740012544,Nämdöböte brygga,59.208559,18.739829,
740012592,Lindevägen,59.215315,18.209533,
740012788,Bladåker vägskäl,59.990311,18.268344,
740012850,Västersjö,59.699025,17.644272,
740012854,Häggeby kyrka,59.657829,17.547202,
740012860,Sigtuna Hällsboskolan,59.627293,17.701330,
740012866,Bålsta Medborgarhuset,59.576509,17.512060,
740012871,Bålsta Viby,59.547973,17.504038,
740012873,Bålsta Hagviken,59.536946,17.502087,
740012876,Bro centrum,59.514382,17.642501,
740012882,Veddesta Viksjöleden,59.406867,17.839723,
740012883,Kista T-bana,59.402864,17.942434,
740012885,Tensta T-bana,59.394482,17.901165,
740012892,Söderskogen södra,59.678914,17.582968,
740012894,Arlanda SAS-hangaren,59.652097,17.946644,
740014316,Salixtrappan,59.322681,18.382176,
740014317,Vårdcentralen,59.323558,18.380046,
740014318,Gustavsgården,59.319459,18.396129,
740014319,Hästhagen,59.320977,18.396982,
740014424,Sanda ängar,59.506251,17.951334,
740014425,Stålgatan,59.573501,17.883700,
740014427,Metallvägen,59.577920,17.873405,
740014429,Flygstigen,59.449735,18.130793,
740014430,Skogsbrynet,59.512389,18.095596,
740014450,Kanalvägen,59.308273,18.106498,
740014648,Stockholm Allmänna gränd brygg,59.324072,18.094564,
740014655,Vistaskolan,59.232241,17.948592,
740014658,Vistabergs allé,59.237014,17.949400,
740014663,Arlanda Cargo City,59.636904,17.926772,
740014874,Vistaberg,59.236961,17.958597,
740014878,Karlberga,59.210579,17.601295,
740014879,Jenny Lidmans stg,59.213507,17.597351,
740015538,Stockholm Skeppsholmen brygga,59.324983,18.089213,
740015539,Artemisgatan,59.353992,18.102329,
740015541,Grenadjärbryggan,59.390970,18.434035,
740016086,Kistahöjden,59.411907,17.933051,
740016178,Norgegatan,59.407909,17.937062,
740016268,Kista gård,59.408406,17.940739,
740016366,Kista alléväg,59.407699,17.947141,
740016367,Persikogatan,59.363982,17.834518,
740016394,Sjövikstorget,59.307415,18.028676,
740016408,Sjöviksvägen,59.306468,18.031565,
740016486,Skogsbo,59.322896,18.396707,
740017978,Skokloster Slottsskolan,59.691105,17.614676,
740018039,Älgö,59.265404,18.351904,
740018045,Vaxholm Västerhamnsplan,59.401676,18.349249,
740018088,Oskar Fredriksborg,59.395676,18.440281,
740018089,Rådmanby by,59.759987,18.967699,
740018090,Räfsnäs brygga,59.752079,19.080403,
740018091,Södersvik affär,59.749642,18.910758,
740018092,Vaxholm Västerhamnen,59.400659,18.349842,
740018244,Bålsta vårdcentral,59.568024,17.527202,
740018269,Hemmesta Kolvik,59.321955,18.483229,
740018270,Stenslätten,59.396670,18.449727,
740018271,Tyresö Trinntorp,59.227570,18.354042,
740018272,Strandtorget,59.241188,18.283223,
740018273,Höganäs (Tynningö) brygga,59.387023,18.342588,
740018274,Norra Lagnö,59.352412,18.409966,
740018275,Norra Lagnö brygga,59.355205,18.411341,
740018276,Skevik,59.347761,18.381456,
740018277,Kymmendö brygga,59.111050,18.489529,
740018278,Fejan brygga,59.745549,19.163224,
740018279,Stockholm Blockhusudden,59.321329,18.154362,
740018280,Stockholm Waldemarsudde,59.322645,18.111370,
740018281,Stockholm Skansen,59.324006,18.101395,
740018282,Stockholm Liljevalc Gröna Lund,59.325248,18.097138,
740018283,Stockholm Kaknästornet Södra,59.333568,18.124835,
740019408,Stockholm Nybroplan,59.332730,18.076552,
740020093,Nytorp,59.236321,18.327616,
740020100,Bro Råby,59.523775,17.628963,
740020101,Slussen T-bana,59.319498,18.072156,
740020110,Viggbyholm station,59.449089,18.103854,
740020112,Ormsta station,59.546011,18.079520,
740020173,Smådalarö,59.165825,18.451578,
740020192,Hägernäs station,59.451043,18.124410,
740020235,Almnäs vägskäl,59.189539,17.519662,
740020566,Åby,59.019147,17.586453,
740020569,Håknäs brygga,59.780109,18.951591,
740020571,Nysättra Byle vägskäl,59.820412,18.903235,
740020572,Östanå färjeläge,59.548183,18.575414,
740020573,Åsättra (Ljusterö) brygga,59.504730,18.637947,
740020574,Lagnö by,59.540745,18.769365,
740020575,Laggarsvik,59.492213,18.529182,
740020576,Täby Norra Bergtorp,59.446528,18.094739,
